Área;Año;Sustancia;Casos;Tasa_ajustada
Candelaria;2013;Todas las sustancias;35;197,27
Rafael Uribe Uribe;2013;Todas las sustancias;290;80,08
Ciudad Bolívar;2013;Todas las sustancias;438;73,18
Sumapaz;2013;Todas las sustancias;6;176,47
Distrito;2013;Todas las sustancias;5.684;78,63
Usaquén;2014;Medicamentos;176;34,08
Chapinero;2014;Medicamentos;73;48,4
Santa Fe;2014;Medicamentos;43;42,19
San Cristóbal;2014;Medicamentos;116;30,28
Usme;2014;Medicamentos;102;29,04
Tunjuelito;2014;Medicamentos;55;32,19
Bosa;2014;Medicamentos;152;22,86
Kennedy;2014;Medicamentos;317;31,73
Fontibón;2014;Medicamentos;170;48,01
Engativá;2014;Medicamentos;287;36,61
Suba;2014;Medicamentos;289;25,99
Barrios Unidos;2014;Medicamentos;69;48,76
Teusaquillo;2014;Medicamentos;75;52,8
Los Mártires;2014;Medicamentos;51;68,2
Antonio Nariño;2014;Medicamentos;45;54,65
Puente Aranda;2014;Medicamentos;74;30,69
Candelaria;2014;Medicamentos;7;40,01
Rafael Uribe Uribe;2014;Medicamentos;114;31,54
Ciudad Bolívar;2014;Medicamentos;167;27,82
Sumapaz;2014;Medicamentos;1;30,32
Distrito;2014;Medicamentos;2.383;32,86
Usaquén;2014;Psicoactivas;238;46,08
Chapinero;2014;Psicoactivas;61;40,45
Santa Fe;2014;Psicoactivas;37;36,3
San Cristóbal;2014;Psicoactivas;90;23,49
Usme;2014;Psicoactivas;82;23,35
Tunjuelito;2014;Psicoactivas;28;16,39
Bosa;2014;Psicoactivas;67;10,08
Kennedy;2014;Psicoactivas;128;12,81
Fontibón;2014;Psicoactivas;136;38,41
Engativá;2014;Psicoactivas;193;24,62
Suba;2014;Psicoactivas;338;30,39
Barrios Unidos;2014;Psicoactivas;65;45,93
Teusaquillo;2014;Psicoactivas;66;46,47
Los Mártires;2014;Psicoactivas;25;33,43
Antonio Nariño;2014;Psicoactivas;25;30,36
Puente Aranda;2014;Psicoactivas;30;12,44
Candelaria;2014;Psicoactivas;9;51,45
Rafael Uribe Uribe;2014;Psicoactivas;84;23,24
Ciudad Bolívar;2014;Psicoactivas;99;16,49
Sumapaz;2014;Psicoactivas;0;0
Distrito;2014;Psicoactivas;1.801;24,83
Usaquén;2014;Otras sustancias químicas;69;13,36
Chapinero;2014;Otras sustancias químicas;22;14,59
Santa Fe;2014;Otras sustancias químicas;6;5,89
San Cristóbal;2014;Otras sustancias químicas;38;9,92
Usme;2014;Otras sustancias químicas;59;16,8
Tunjuelito;2014;Otras sustancias químicas;27;15,8
Bosa;2014;Otras sustancias químicas;50;7,52
Kennedy;2014;Otras sustancias químicas;96;9,61
Fontibón;2014;Otras sustancias químicas;47;13,27
Engativá;2014;Otras sustancias químicas;68;8,67
Suba;2014;Otras sustancias químicas;88;7,91
Barrios Unidos;2014;Otras sustancias químicas;22;15,55
Teusaquillo;2014;Otras sustancias químicas;16;11,26
Los Mártires;2014;Otras sustancias químicas;18;24,07
Antonio Nariño;2014;Otras sustancias químicas;11;13,36
Puente Aranda;2014;Otras sustancias químicas;48;19,91
Candelaria;2014;Otras sustancias químicas;4;22,86
Rafael Uribe Uribe;2014;Otras sustancias químicas;39;10,79
Ciudad Bolívar;2014;Otras sustancias químicas;59;9,83
Sumapaz;2014;Otras sustancias químicas;1;30,32
Distrito;2014;Otras sustancias químicas;788;10,86
Usaquén;2014;Plaguicidas;14;2,71
Chapinero;2014;Plaguicidas;10;6,63
Santa Fe;2014;Plaguicidas;87;85,36
San Cristóbal;2014;Plaguicidas;26;6,79
Usme;2014;Plaguicidas;56;15,94
Tunjuelito;2014;Plaguicidas;14;8,19
Bosa;2014;Plaguicidas;51;7,67
Kennedy;2014;Plaguicidas;62;6,21
Fontibón;2014;Plaguicidas;14;3,95
Engativá;2014;Plaguicidas;39;4,97
Suba;2014;Plaguicidas;42;3,78
Barrios Unidos;2014;Plaguicidas;14;9,89
Teusaquillo;2014;Plaguicidas;10;7,04
Los Mártires;2014;Plaguicidas;6;8,02
